Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
450.000000	0.0839886 	450.000000	0.064935  	450.000000	0.0645224 	450.000000	0.0640727 	450.000000	0.0645181 	450.000000	0.0649209 	450.000000	1.41161e-05	
460.000000	0.0831435 	460.000000	0.0643459 	460.000000	0.0639215 	460.000000	0.0634761 	460.000000	0.0639194 	460.000000	0.0643321 	460.000000	1.38348e-05	
470.000000	0.0823344 	470.000000	0.0637826 	470.000000	0.0633456 	470.000000	0.0629059 	470.000000	0.0633472 	470.000000	0.063769  	470.000000	1.35649e-05	
480.000000	0.0815592 	480.000000	0.0632434 	480.000000	0.0627962 	480.000000	0.0623605 	480.000000	0.0627996 	480.000000	0.0632301 	480.000000	1.33058e-05	
490.000000	0.0808159 	490.000000	0.062727  	490.000000	0.0622726 	490.000000	0.0618383 	490.000000	0.0622754 	490.000000	0.062714  	490.000000	1.30568e-05	
500.000000	0.0801027 	500.000000	0.062232  	500.000000	0.0617753 	500.000000	0.0613416 	500.000000	0.0617768 	500.000000	0.0622192 	500.000000	1.28173e-05	
520.000000	0.0787599 	520.000000	0.0613016 	520.000000	0.0608494 	520.000000	0.0604178 	520.000000	0.0608493 	520.000000	0.0612892 	520.000000	1.23647e-05	
540.000000	0.077519  	540.000000	0.0604433 	540.000000	0.0599962 	540.000000	0.0595669 	540.000000	0.0599949 	540.000000	0.0604313 	540.000000	1.19441e-05	
560.000000	0.0763694 	560.000000	0.0596496 	560.000000	0.0592085 	560.000000	0.0587813 	560.000000	0.0592061 	560.000000	0.0596381 	560.000000	1.15523e-05	
580.000000	0.0753022 	580.000000	0.0589142 	580.000000	0.0584785 	580.000000	0.0580544 	580.000000	0.0584761 	580.000000	0.058903  	580.000000	1.11864e-05	
600.000000	0.0743097 	600.000000	0.0582314 	600.000000	0.0577994 	600.000000	0.0573804 	600.000000	0.0577993 	600.000000	0.0582205 	600.000000	1.08437e-05	
620.000000	0.0733848 	620.000000	0.0575961 	620.000000	0.0571684 	620.000000	0.0567543 	620.000000	0.0571704 	620.000000	0.0575856 	620.000000	1.05222e-05	
640.000000	0.0725217 	640.000000	0.0570041 	640.000000	0.0565837 	640.000000	0.0561717 	640.000000	0.0565852 	640.000000	0.0569939 	640.000000	1.022e-05 	
660.000000	0.071715  	660.000000	0.0564516 	660.000000	0.0560395 	660.000000	0.0556286 	660.000000	0.0560397 	660.000000	0.0564417 	660.000000	9.93524e-06	
680.000000	0.07096   	680.000000	0.0559351 	680.000000	0.055531  	680.000000	0.0551217 	680.000000	0.0555304 	680.000000	0.0559255 	680.000000	9.66652e-06	
700.000000	0.0702524 	700.000000	0.0554517 	700.000000	0.055056  	700.000000	0.0546479 	700.000000	0.0550544 	700.000000	0.0554423 	700.000000	9.41251e-06	
720.000000	0.0695886 	720.000000	0.0549987 	720.000000	0.0546117 	720.000000	0.0542043 	720.000000	0.0546087 	720.000000	0.0549896 	720.000000	9.17199e-06	
