Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
230.000000	0.120448  	230.000000	0.125739  	230.000000	0.125161  	230.000000	0.124561  	230.000000	0.125158  	230.000000	0.1257    	230.000000	3.83427e-05	
240.000000	0.117413  	240.000000	0.122572  	240.000000	0.121993  	240.000000	0.121399  	240.000000	0.12199   	240.000000	0.122535  	240.000000	3.68697e-05	
250.000000	0.114608  	250.000000	0.119652  	250.000000	0.119076  	250.000000	0.118484  	250.000000	0.119069  	250.000000	0.119617  	250.000000	3.55097e-05	
260.000000	0.112009  	260.000000	0.116951  	260.000000	0.116371  	260.000000	0.115789  	260.000000	0.116369  	260.000000	0.116917  	260.000000	3.425e-05 	
270.000000	0.109593  	270.000000	0.114445  	270.000000	0.113859  	270.000000	0.11329   	270.000000	0.113865  	270.000000	0.114412  	270.000000	3.30798e-05	
280.000000	0.107342  	280.000000	0.112115  	280.000000	0.111533  	280.000000	0.110967  	280.000000	0.111538  	280.000000	0.112083  	280.000000	3.19896e-05	
290.000000	0.10524   	290.000000	0.109942  	290.000000	0.109367  	290.000000	0.108803  	290.000000	0.109369  	290.000000	0.109911  	290.000000	3.09716e-05	
300.000000	0.103271  	300.000000	0.107911  	300.000000	0.107342  	300.000000	0.106782  	300.000000	0.107343  	300.000000	0.107881  	300.000000	3.00187e-05	
310.000000	0.101425  	310.000000	0.10601   	310.000000	0.105448  	310.000000	0.104891  	310.000000	0.105448  	310.000000	0.105981  	310.000000	2.91247e-05	
320.000000	0.0996896 	320.000000	0.104226  	320.000000	0.103672  	320.000000	0.103118  	320.000000	0.103671  	320.000000	0.104198  	320.000000	2.82843e-05	
330.000000	0.0980555 	330.000000	0.102549  	330.000000	0.102003  	330.000000	0.101452  	330.000000	0.102001  	330.000000	0.102521  	330.000000	2.74927e-05	
