Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
190.000000	0.135585  	190.000000	0.136804  	190.000000	0.134994  	190.000000	0.134377  	190.000000	0.134996  	190.000000	0.136759  	190.000000	4.472e-05 	
195.000000	0.133373  	195.000000	0.13457   	195.000000	0.132777  	195.000000	0.132163  	195.000000	0.132779  	195.000000	0.134527  	195.000000	4.36666e-05	
200.000000	0.131266  	200.000000	0.132444  	200.000000	0.130668  	200.000000	0.130056  	200.000000	0.130669  	200.000000	0.132401  	200.000000	4.26637e-05	
210.000000	0.127336  	210.000000	0.128485  	210.000000	0.126739  	210.000000	0.126132  	210.000000	0.126739  	210.000000	0.128444  	210.000000	4.07948e-05	
220.000000	0.123744  	220.000000	0.124873  	220.000000	0.123155  	220.000000	0.122553  	220.000000	0.123154  	220.000000	0.124834  	220.000000	3.90887e-05	
230.000000	0.120448  	230.000000	0.121566  	230.000000	0.119874  	230.000000	0.119276  	230.000000	0.119871  	230.000000	0.121529  	230.000000	3.75246e-05	
240.000000	0.117413  	240.000000	0.118526  	240.000000	0.116858  	240.000000	0.116264  	240.000000	0.116854  	240.000000	0.11849   	240.000000	3.60853e-05	
250.000000	0.114608  	250.000000	0.115723  	250.000000	0.114079  	250.000000	0.113487  	250.000000	0.114072  	250.000000	0.115688  	250.000000	3.47563e-05	
260.000000	0.112009  	260.000000	0.11313   	260.000000	0.111501  	260.000000	0.11092   	260.000000	0.111499  	260.000000	0.113096  	260.000000	3.35252e-05	
270.000000	0.109593  	270.000000	0.110724  	270.000000	0.109106  	270.000000	0.108539  	270.000000	0.109113  	270.000000	0.110691  	270.000000	3.23815e-05	
280.000000	0.107342  	280.000000	0.108486  	280.000000	0.10689   	280.000000	0.106325  	280.000000	0.106895  	280.000000	0.108455  	280.000000	3.1316e-05	
290.000000	0.10524   	290.000000	0.106399  	290.000000	0.104825  	290.000000	0.104262  	290.000000	0.104827  	290.000000	0.106369  	290.000000	3.03209e-05	
300.000000	0.103271  	300.000000	0.10445   	300.000000	0.102894  	300.000000	0.102335  	300.000000	0.102896  	300.000000	0.10442   	300.000000	2.93894e-05	
310.000000	0.101425  	310.000000	0.102624  	310.000000	0.101088  	310.000000	0.100532  	310.000000	0.101088  	310.000000	0.102595  	310.000000	2.85154e-05	
320.000000	0.0996896 	320.000000	0.10091   	320.000000	0.0993941 	320.000000	0.0988407 	320.000000	0.0993926 	320.000000	0.100883  	320.000000	2.76938e-05	
330.000000	0.0980555 	330.000000	0.0992995 	330.000000	0.0978021 	330.000000	0.0972519 	330.000000	0.0977997 	330.000000	0.0992726 	330.000000	2.692e-05 	
340.000000	0.0965143 	340.000000	0.0977828 	340.000000	0.0963047 	340.000000	0.0957567 	340.000000	0.0963008 	340.000000	0.0977566 	340.000000	2.61897e-05	
350.000000	0.0950584 	350.000000	0.0963522 	350.000000	0.0948939 	350.000000	0.0943474 	350.000000	0.0948876 	350.000000	0.0963267 	350.000000	2.54995e-05	
360.000000	0.0936809 	360.000000	0.0950008 	360.000000	0.0935572 	360.000000	0.093017  	360.000000	0.0935537 	360.000000	0.0949759 	360.000000	2.4846e-05	
370.000000	0.0923759 	370.000000	0.0937223 	370.000000	0.0922899 	370.000000	0.0917593 	370.000000	0.0922927 	370.000000	0.0936981 	370.000000	2.42263e-05	
380.000000	0.0911379 	380.000000	0.0925113 	380.000000	0.0910946 	380.000000	0.0905688 	380.000000	0.0910987 	380.000000	0.0924877 	380.000000	2.3638e-05	
390.000000	0.089962  	390.000000	0.0913626 	390.000000	0.0899652 	390.000000	0.0894404 	390.000000	0.0899671 	390.000000	0.0913395 	390.000000	2.30785e-05	
400.000000	0.0888437 	400.000000	0.0902717 	400.000000	0.088893  	400.000000	0.0883697 	400.000000	0.0888934 	400.000000	0.0902492 	400.000000	2.25459e-05	
410.000000	0.087779  	410.000000	0.0892346 	410.000000	0.0878734 	410.000000	0.0873524 	410.000000	0.087873  	410.000000	0.0892126 	410.000000	2.20382e-05	
420.000000	0.0867644 	420.000000	0.0882475 	420.000000	0.0869037 	420.000000	0.0863849 	420.000000	0.0869026 	420.000000	0.088226  	420.000000	2.15537e-05	
430.000000	0.0857964 	430.000000	0.087307  	430.000000	0.085981  	430.000000	0.0854638 	430.000000	0.0859788 	430.000000	0.0872859 	430.000000	2.10908e-05	
440.000000	0.084872  	440.000000	0.0864101 	440.000000	0.0851024 	440.000000	0.084586  	440.000000	0.0850984 	440.000000	0.0863894 	440.000000	2.0648e-05	
450.000000	0.0839886 	450.000000	0.0855539 	450.000000	0.0842633 	450.000000	0.0837487 	450.000000	0.0842584 	450.000000	0.0855336 	450.000000	2.02242e-05	
460.000000	0.0831435 	460.000000	0.0847358 	460.000000	0.0834589 	460.000000	0.0829493 	460.000000	0.0834565 	460.000000	0.084716  	460.000000	1.9818e-05	
470.000000	0.0823344 	470.000000	0.0839535 	470.000000	0.0826886 	470.000000	0.0821855 	470.000000	0.0826903 	470.000000	0.0839341 	470.000000	1.94284e-05	
480.000000	0.0815592 	480.000000	0.0832049 	480.000000	0.0819535 	480.000000	0.081455  	480.000000	0.0819574 	480.000000	0.0831858 	480.000000	1.90544e-05	
490.000000	0.0808159 	490.000000	0.0824878 	490.000000	0.0812527 	490.000000	0.0807559 	490.000000	0.0812559 	490.000000	0.0824691 	490.000000	1.8695e-05	
500.000000	0.0801027 	500.000000	0.0818005 	500.000000	0.0805825 	500.000000	0.0800863 	500.000000	0.0805841 	500.000000	0.0817822 	500.000000	1.83494e-05	
520.000000	0.0787599 	520.000000	0.0805087 	520.000000	0.0793227 	520.000000	0.0788289 	520.000000	0.0793226 	520.000000	0.080491  	520.000000	1.76965e-05	
540.000000	0.077519  	540.000000	0.0793171 	540.000000	0.0781618 	540.000000	0.0776707 	540.000000	0.0781604 	540.000000	0.0793    	540.000000	1.709e-05 	
560.000000	0.0763694 	560.000000	0.0782154 	560.000000	0.0770899 	560.000000	0.0766012 	560.000000	0.0770873 	560.000000	0.0781989 	560.000000	1.65252e-05	
580.000000	0.0753022 	580.000000	0.0771945 	580.000000	0.0760966 	580.000000	0.0756114 	580.000000	0.0760938 	580.000000	0.0771785 	580.000000	1.59977e-05	
600.000000	0.0743097 	600.000000	0.0762465 	600.000000	0.0751727 	600.000000	0.0746933 	600.000000	0.0751726 	600.000000	0.076231  	600.000000	1.55041e-05	
620.000000	0.0733848 	620.000000	0.0753646 	620.000000	0.0743139 	620.000000	0.0738401 	620.000000	0.0743161 	620.000000	0.0753496 	620.000000	1.5041e-05	
640.000000	0.0725217 	640.000000	0.0745428 	640.000000	0.0735171 	640.000000	0.0730457 	640.000000	0.0735188 	640.000000	0.0745282 	640.000000	1.46057e-05	
660.000000	0.071715  	660.000000	0.0737757 	660.000000	0.0727749 	660.000000	0.0723048 	660.000000	0.0727751 	660.000000	0.0737615 	660.000000	1.41958e-05	
680.000000	0.07096   	680.000000	0.0730586 	680.000000	0.072081  	680.000000	0.0716127 	680.000000	0.0720802 	680.000000	0.0730448 	680.000000	1.3809e-05	
700.000000	0.0702524 	700.000000	0.0723874 	700.000000	0.0714321 	700.000000	0.0709651 	700.000000	0.0714303 	700.000000	0.072374  	700.000000	1.34435e-05	
720.000000	0.0695886 	720.000000	0.0717583 	720.000000	0.0708246 	720.000000	0.0703585 	720.000000	0.0708211 	720.000000	0.0717452 	720.000000	1.30975e-05	
740.000000	0.0689652 	740.000000	0.071168  	740.000000	0.070253  	740.000000	0.0697893 	740.000000	0.0702496 	740.000000	0.0711553 	740.000000	1.27694e-05	
